gene symbol,mean r-value,mean slope,H0351.2001 r-value,H0351.1012 r-value,H0351.2002 r-value,H0351.1016 r-value,H0351.1015 r-value,H0351.1009 r-value,t,p
PIP,0.122732,0.017242,-0.1049418032858339,0.4305383417453113,0.055494371828009779,0.049550357417110016,0.27509452902212272,0.030653468855318451,1.57945066285,0.17506797675316249
PIP4K2A,0.434143,0.056963,0.37790415583820397,0.67531730904659604,0.2086256992740711,0.28497158459166938,0.47688618245044428,0.58115389299141684,4.46080927198,0.006635486868108947
PITPNA,0.03318,0.004586,0.051927282303500376,-0.077818400697890908,-0.25499066995400621,0.18660479304085109,0.14716664957513556,0.1461907461028952,0.400855656632,0.70508218242700815
PITX3,-0.136158,-0.023435,0.099372605115205764,-0.052407605917952245,-0.22987213469691276,-0.2506253008476253,-0.15447031273429707,-0.2289432810408504,-2.63579847179,0.046209348241967853
PKD1,-0.00065,-0.005048,-0.14954138628312022,0.60013393878505972,-0.013246906027216719,-0.059011886384723766,-0.47751244941995452,0.095276230564189143,-0.249224604974,0.81310135083837531
PKD2,0.3846,0.050395,0.28265242340417235,0.6073868953093492,0.2052446848276325,0.12418232980126999,0.63727924089106092,0.45085624849347467,4.61443469936,0.0057643832655193744
PKM,0.08901,0.011118,0.098501854566614824,0.41178015013890901,0.079475287184846019,-0.12707504147573512,-0.14630773466013416,0.21768279603509627,0.799573743736,0.4602395874397554
PKNOX1,-0.060085,-0.006889,-0.01790067914822514,-0.30637485589540064,0.24205536339457229,-0.015735951642763497,0.08311908290011813,-0.34567038198523231,-0.491652360421,0.64378657514513205
PKP1,-0.026558,-0.004207,-0.0073012145326332564,-0.23323724404772692,-0.0089826904992575691,0.14071710990721933,-0.0022439383944493248,-0.048300418019188766,-0.589865278913,0.58092733518093731
PKP2,-0.295637,-0.032512,-0.17084543320253945,-0.37840114041475947,0.094315354837805274,-0.024534429520128229,-0.64430586011878777,-0.65005083238285466,-2.28035715772,0.071506135217803052
PLA2G4A,0.195289,0.029782,0.14195201987426537,0.21679734621168784,0.2632556647154195,0.097326260069168322,0.37524182525219468,0.077160464367469969,4.02501430555,0.010070707945321472
PLA2G5,0.25671,0.041855,0.14658111214158498,0.46787228782046758,0.19143969175529899,-0.03175081346914297,0.30210389481758337,0.46401680810636325,3.11515753063,0.026396337738389865
PLAG1,0.206332,0.030727,0.20916851127275266,0.37977844178943243,0.28870236946844086,0.16691871703810704,0.3442192436407725,-0.15079661088083132,2.74707609983,0.040450453022999364
PLAGL1,-0.141394,-0.026728,-0.046069865417575524,0.082197652161763279,-0.16596775561595598,-0.025232241123945051,-0.45766831004557479,-0.23562306310829798,-1.76983230127,0.13697719466317707
PLAGL2,-0.068547,-0.011692,-0.073999292846395531,0.38121949661107951,0.12618971888000274,-0.32754697061378618,-0.4160215533472576,-0.10112313739118785,-0.657544200014,0.53989162955321413
