gene symbol,mean r-value,mean slope,H0351.2001 r-value,H0351.1012 r-value,H0351.2002 r-value,H0351.1016 r-value,H0351.1015 r-value,H0351.1009 r-value,t,p
ACACB,-0.149638,-0.023755,-0.33436668689270949,-0.27151366265232524,0.26035142323813465,-0.10324245476016579,-0.18786421450523969,-0.26119493364414437,-1.50459885218,0.19276167070348604
ACADL,0.344399,0.063509,0.33606749459903629,0.31804144856074551,0.54600562500085703,0.39762526792783337,0.21844048305622452,0.25021128954596478,5.64206821092,0.0024267454938712587
ACADM,-0.058586,-0.008939,-0.45877300687743827,0.2167717125275582,0.3349017190100898,0.055645718992216237,-0.20482797822280116,-0.29523120800803843,-0.436956985535,0.68036923214738598
ACADSB,0.219087,0.034173,-0.1399824076201607,0.0095092231265453027,0.41684847020970889,0.48413126716492844,0.39815506983522853,0.1458629002345985,2.16745938443,0.08240693874188755
ACADVL,-0.063362,-0.011943,-0.25320836070096281,-0.17475925523503597,-0.20628018004357959,-0.084895684845037941,0.42197901915936514,-0.083004567650234118,-0.70131670073,0.51439416015330741
ACAT1,-0.280062,-0.047538,-0.35242536106550182,-0.062734239250654453,-0.35893200921163365,-0.3534664977081628,-0.28376082898132005,-0.2690541783847174,-5.86098673996,0.0020498020797853366
ACAT2,0.159673,0.028544,-0.10024674861242568,0.081899225331796652,0.19710365482717759,0.24242469268941377,0.39518177201427784,0.14167668293553126,2.48434314337,0.055544639026859043
ASIC2,0.483463,0.074863,0.39692984963513928,0.43269744574553243,0.60753394301214858,0.54147167081903513,0.57691500384139094,0.34522917643138418,7.74506934571,0.00057355533604745452
ASIC1,-0.407091,-0.071223,-0.5382968607873807,-0.39832817116553032,-0.34146474985352243,-0.25265158884990008,-0.41703572798806421,-0.49476617017918301,-6.22615128358,0.0015634547028462798
ACHE,-0.324754,-0.042915,-0.28222695272345211,-0.39315100184263951,-0.26928151703465386,-0.4589957595642814,-0.4239101813609511,-0.1209575416442108,-7.15552030758,0.00082843325969105301
ACLY,0.208966,0.029125,0.0065809161892210113,0.054979266236886065,0.46410697993797573,0.32680280195096251,0.38664184696925458,0.014683333800839683,2.32909329088,0.06728718113999213
ACO1,-0.341877,-0.053299,-0.4525631524342355,-0.29805133543092693,-0.40633508193935092,-0.36411075867545672,-0.21763850341950536,-0.31256368371917681,-8.27271947683,0.00042108195985635555
ACR,-0.28203,-0.044766,-0.19158077993503056,-0.3057447328698995,0.081319116554729065,-0.435431404612728,-0.49075026576447689,-0.34999267240290827,-3.22407100182,0.023359479625632125
ACO2,-0.069946,-0.010726,-0.29251578029151298,-0.10177184456308171,0.28579956746002183,-0.041073710676639223,-0.16493722222448631,-0.10517601958192949,-0.809564662426,0.45497518280729693
ACOX1,-0.047465,-0.011312,-0.24648846933514859,-0.066405465342745634,0.27788026680086225,0.15004860453780478,-0.1260268472852549,-0.27379732268431717,-0.704295989261,0.5126891168476958
ACP1,0.180267,0.030207,0.21156218763143431,0.30872700773902856,0.057288287677779021,-0.037911864793222699,0.3480068384542167,0.19393184190577684,3.15822627363,0.025145229256586347
ACP2,0.42524,0.072051,0.65231762821694828,0.2974511399401884,0.20608014648833303,0.66614738649345762,0.608127979312583,0.12131820160373415,4.27259958787,0.0079191258162133703
ACP5,-0.143848,-0.023002,-0.18585354052155545,0.029383648425831018,0.022169150819857347,-0.26985585735895529,-0.39904213987164983,-0.059889407477196177,-1.83691467956,0.12564517100115272
ACPP,0.031902,0.004562,0.079107713400905721,0.037365716421001144,0.40081944591677621,-0.28468778654476729,0.019572711171396057,-0.060764836740732353,0.342001945072,0.7462557274400049
ACTA1,-0.067106,-0.00751,-0.076421140811643348,-0.050035596570154044,-0.086445402353133888,-0.32623562850711901,0.34387884696369886,-0.20737999930359413,-0.507596247881,0.63332781694158991
ACTA2,-0.263677,-0.047051,-0.1448728352398338,0.031024626152227772,-0.43346915829124227,-0.35010219986470786,-0.5855857508574599,-0.099054837417077435,-2.54412352797,0.051633938936291639
ACTB,0.416724,0.071795,0.31686550506793093,0.39052899610839348,0.48749432445297536,0.62378370743312195,0.29529001638095226,0.386381445927439,18.5984548967,8.2710485614892153e-06
ACTC1,0.030372,0.002807,-0.263494499026457,0.20521438337685352,0.20247060491080041,0.030068368935106601,0.18908174737883321,-0.18110595180806977,0.228307980985,0.82845019375678619
ACTG1,-0.077572,-0.01016,-0.22489180548529261,-0.14762138274447334,0.25569160191607559,-0.23594550096518946,-0.0052133294830593634,-0.10745409346859101,-0.800707589669,0.45963988115108623
ACTG2,-0.244037,-0.042589,-0.265377589233455,0.071965184635037774,-0.44855698894355917,-0.32049975863764074,-0.44900407394775971,-0.052745969799135484,-2.62586605706,0.046765717973270733
ACTN4,-0.381989,-0.067002,-0.4219750183385384,-0.30211194687239135,-0.47837265533040768,-0.33214423948768035,-0.70015053042849495,-0.057177435939583972,-3.40648613906,0.019116039883518496
ACTL6A,-0.537084,-0.086311,-0.48803849457304821,-0.44547709654665651,-0.76635758172841917,-0.51780784042650285,-0.72780140175846997,-0.27702205552984377,-5.98495760851,0.0018669885858510972
ACTN1,0.055785,0.007887,0.095865866011739381,-0.032479373741366301,0.22826109619374607,0.14246709815086803,-0.01266622189272981,-0.086739655872328611,1.09076135541,0.32512988669466142
ACTN2,-0.005864,-0.003281,-0.019810224351862471,0.022614975985619689,-0.029938348690015673,0.17136995211151951,-0.30768244088667396,0.12826145648115539,-0.249251759063,0.81308148477242226
ACVR1,0.538341,0.092788,0.53716127555617443,0.48587208191527154,0.76534713053477421,0.52612929374063611,0.62137795077194047,0.29415950779560596,7.53230661658,0.00065306736310486845
ACVR1B,0.186287,0.034049,0.20462493994011383,-0.2085326132276478,0.22721379625260393,0.30697144365324669,0.40592564543575227,0.18151680773432111,2.27130113214,0.072320929306749382
ACVR2A,0.449899,0.081226,0.37381520288773323,0.3839067034783355,0.52994821717302476,0.46055920950264523,0.73435042485086954,0.21681228422928706,5.38604080037,0.0029757221829427799
ACVR2B,-0.284951,-0.043355,-0.1000455706433666,-0.33107849102881975,-0.5277459381080184,-0.33917877039924593,-0.37413889687392587,-0.037520745220614909,-3.79640458632,0.012675025265152576
