wellids,mni_x,mni_y,mni_z
296,-51.2,-13.9,-23.3
297,-18.6,-29.5,-14.7
298,-25.3,-29.6,-17
299,-1.2,-35.3,63.8
300,-3.5,-26.5,66.5
301,-6.8,-21.8,43.7
302,-7.9,-23.9,48.6
303,0,-35.3,63.8
304,-7.8,-33.8,47.1
305,-36.2,21.4,10.2
306,-39.8,46.4,5.5
307,-38.7,46.4,5.5
308,-39.7,35.3,1.8
309,-43,35.2,0.6
310,-38.5,35.2,-1.7
311,-6.9,-78.8,8.7
312,-11.2,-95.4,5.5
313,-4.6,-37.1,76.9
314,-50.7,-17.7,58.5
315,-40.3,-34.2,49.4
316,-31.6,-26.8,70
317,-38.2,-29.5,59.6
318,-64,-12,37.9
319,-49.2,-11.7,8.4
320,-54.8,-13,5
321,-7.7,-34,41.2
322,-10.2,-10,37.9
323,-4.6,-9.9,37.9
324,-0.1,-10.1,29.6
325,-7,-1.1,41.8
326,-1.4,-1.2,34.7
327,-50.7,7.3,22
328,-39.4,-17.9,47.9
329,-25.9,-27,61.8
330,-55.1,5.9,13.9
331,-21.5,-26.7,68.8
332,-5.9,-26.2,75.9
333,-5.7,-36.3,68.6
334,-6.8,-36.2,70.9
335,-49.6,7.4,22
336,-15,-73.8,30.7
337,-4.4,-52.6,70.1
338,-2,-52.1,51.1
339,-7.3,41.7,13.1
340,-3.6,24.7,-6.6
341,-2.5,24.7,-6.6
342,-8.4,33.3,24.5
343,-5,41.3,1.4
344,-6,38.7,-11.4
345,-18.9,57.4,29.4
346,-24.4,44.3,35.3
347,-38.8,48.7,10
348,-21.1,65.6,14.5
349,-56.5,19.5,28
350,-55.4,19.5,28
351,-15.4,64.4,7.5
352,-28.8,41.9,29.6
353,-53.2,19.6,30.3
354,-48.8,35.8,21.8
355,-16.6,57.5,30.5
356,-16.6,57.4,29.4
357,-8.5,33.5,29.2
358,-9.7,56.7,5.9
359,-5.3,66.6,3.8
360,-8.3,16.3,37.8
361,-19.4,-10.4,65
362,-2.5,-12.5,58.2
363,-15.5,57.5,30.6
364,-19.5,-0.6,64.1
365,-14.2,30.9,54.2
366,-15.3,29.6,48.4
367,-3,43.3,27.1
368,-7.1,-0.9,47.7
369,-33.6,-44.5,66.9
370,-43.5,-46.3,51.7
371,-10,-54.8,75
372,-29.9,-62.3,56.7
373,-19.7,-72.9,60.1
374,-25.1,-76,37.9
375,-30,-61.1,60.1
376,-6.9,-91.2,29.9
377,-49.3,5.3,-6.1
378,-68.1,-24.2,3.6
379,-54.6,-26.4,-2.1
380,-49.1,-14.5,-9
